name,alignment,gender,species,first_appearance_year,first_movie,affiliation,powers_count,has_powers,strength_rating,intelligence_rating,box_office_debut_million,movie_appearances,is_alive,eye_color,height_cm,origin,threat_level
Tony Stark,hero,male,human,2008,Iron Man,Avengers,0,FALSE,3,10,585.8,10,FALSE,brown,185,Earth,Medium
Steve Rogers,hero,male,enhanced human,2011,Captain America: The First Avenger,Avengers,3,TRUE,8,7,370.6,9,TRUE,blue,188,Earth,High
Natasha Romanoff,hero,female,human,2010,Iron Man 2,Avengers,0,FALSE,6,8,,8,FALSE,green,170,Earth,Medium
Thor Odinson,hero,male,asgardian,2011,Thor,Avengers,5,TRUE,10,6,449.3,8,TRUE,blue,201,Asgard,Extreme
Bruce Banner,hero,male,mutated human,2012,The Avengers,Avengers,2,TRUE,10,10,,7,TRUE,brown,175,Earth,Extreme
Clint Barton,hero,male,human,2011,Thor,Avengers,0,FALSE,5,7,,7,TRUE,blue,183,Earth,Low
Nick Fury,hero,male,human,2008,Iron Man,SHIELD,0,FALSE,4,9,,9,TRUE,brown,190,Earth,Low
Loki,antihero,male,asgardian,2011,Thor,Asgard,6,TRUE,7,10,449.3,8,TRUE,green,182,Asgard,High
Peter Parker,hero,male,enhanced human,2016,Captain America: Civil War,Avengers,4,TRUE,7,9,,6,TRUE,brown,173,Earth,Medium
Wanda Maximoff,hero,female,enhanced human,2015,Avengers: Age of Ultron,Avengers,,TRUE,9,7,459.0,6,,brown,170,Earth,Extreme
T'Challa,hero,male,enhanced human,2016,Captain America: Civil War,Wakanda,3,TRUE,8,8,,4,FALSE,brown,183,Earth,High
Stephen Strange,hero,male,human,2016,Doctor Strange,Avengers,7,TRUE,4,10,232.6,6,TRUE,brown,180,Earth,High
Carol Danvers,hero,female,human-kree hybrid,2019,Captain Marvel,Avengers,8,TRUE,10,8,,3,TRUE,blue,173,Earth,Extreme
Sam Wilson,hero,male,human,2014,Captain America: The Winter Soldier,Avengers,2,TRUE,5,7,,6,TRUE,brown,183,Earth,Low
Bucky Barnes,antihero,male,enhanced human,2011,Captain America: The First Avenger,Avengers,3,TRUE,8,6,,6,TRUE,blue,180,Earth,Medium
Scott Lang,hero,male,human,2015,Ant-Man,Avengers,1,TRUE,4,6,180.2,4,TRUE,brown,171,Earth,Low
Hope van Dyne,hero,female,human,2018,Ant-Man and the Wasp,Avengers,1,TRUE,5,8,,3,TRUE,brown,168,Earth,Low
Peter Quill,hero,male,human-celestial hybrid,2014,Guardians of the Galaxy,Guardians,2,TRUE,6,6,333.1,5,TRUE,blue,183,Earth,Medium
Gamora,hero,female,zehoberei,2014,Guardians of the Galaxy,Guardians,3,TRUE,9,6,333.1,,,green,182,Zen-Whoberi,High
Drax,hero,male,destroyer,2014,Guardians of the Galaxy,Guardians,1,TRUE,10,3,333.1,5,TRUE,green,198,Destroyer,Medium
Rocket Raccoon,hero,male,genetically engineered raccoon,2014,Guardians of the Galaxy,Guardians,2,TRUE,4,9,333.1,5,TRUE,black,91,Halfworld,Low
Groot,hero,male,flora colossus,2014,Guardians of the Galaxy,Guardians,3,TRUE,10,4,333.1,5,TRUE,,213,Planet X,High
Nebula,antihero,female,cyborg,2014,Guardians of the Galaxy,Guardians,4,TRUE,8,6,,5,TRUE,blue,175,Luphomoid,Medium
Thanos,villain,male,titan,2012,The Avengers,Black Order,6,TRUE,10,9,,4,FALSE,,205,Titan,Extreme
Loki Laufeyson,villain,male,frost giant,2011,Thor,Asgard,6,TRUE,7,10,449.3,,TRUE,red,182,Jotunheim,High
Killmonger,villain,male,enhanced human,2018,Black Panther,none,3,TRUE,7,7,700.1,1,FALSE,brown,185,Earth,Medium
Ultron,villain,,synthetic,2015,Avengers: Age of Ultron,none,5,TRUE,9,10,459.0,1,FALSE,red,229,Earth,Extreme
Vision,hero,male,synthetic,2015,Avengers: Age of Ultron,Avengers,6,TRUE,9,9,459.0,4,FALSE,,190,Earth,Extreme
Shuri,hero,female,human,2018,Black Panther,Wakanda,0,FALSE,3,10,700.1,3,TRUE,brown,165,Earth,Low
Okoye,hero,female,human,2018,Black Panther,Wakanda,0,FALSE,7,7,700.1,3,TRUE,brown,178,Earth,Medium
